date,cash,market_value,equity,positions
2023-06-12,1000000.0,0.0,1000000.0,0
2023-06-15,724140.3,279956.0,1004096.3,3
2023-06-16,551709.48,454113.0,1005822.48,4
2023-06-19,426975.05,570854.0,997829.05,4
2023-06-20,426975.05,569019.0,995994.05,4
2023-06-21,426975.05,572326.0,999301.05,4
2023-06-26,570334.02,424503.0,994837.02,3
2023-06-27,570334.02,432304.0,1002638.02,3
2023-06-28,570334.02,428667.0,999001.02,3
2023-06-29,471396.3,520978.0,992374.3,4
2023-06-30,471396.3,521405.0,992801.3,4
2023-07-03,471396.3,533554.0,1004950.3,4
2023-07-04,372040.48,636847.0,1008887.48,5
2023-07-05,328064.05,680220.0,1008284.05,5
2023-07-06,425098.25,577755.0,1002853.25,4
2023-07-07,420293.2,579638.0,999931.2,4
2023-07-10,420293.2,572015.0,992308.2,4
2023-07-11,321097.42,677241.0,998338.42,5
2023-07-12,271668.58,727187.0,998855.58,5
2023-07-13,271668.58,740626.0,1012294.58,5
2023-07-14,270376.57,741017.0,1011393.57,5
2023-07-17,270376.57,737062.0,1007438.57,5
2023-07-18,417204.9,587460.0,1004664.9,4
2023-07-19,417204.9,591132.0,1008336.9,4
2023-07-20,411409.84,590591.0,1002000.84,4
2023-07-21,410981.84,588751.0,999732.84,4
2023-07-24,410557.84,582768.0,993325.84,4
2023-07-25,410557.84,594869.0,1005426.84,4
2023-07-26,121331.78,878402.0,999733.78,7
2023-07-27,25516.87,972632.0,998148.87,7
2023-07-28,1570.64,1017920.0,1019490.64,7
2023-07-31,1570.64,1014417.0,1015987.64,7
2023-08-01,1914.25,1006468.0,1008382.25,8
2023-08-02,1914.25,994493.0,996407.25,8
2023-08-03,6523.01,997915.0,1004438.01,8
2023-08-04,1517.96,1003525.0,1005042.96,8
2023-08-07,1517.96,998498.0,1000015.96,8
2023-08-08,1517.96,992454.0,993971.96,8
2023-08-09,1517.96,995442.0,996959.96,8
2023-08-10,297.95,998077.0,998374.95,9
2023-08-11,2936.46,969050.0,971986.46,9
2023-08-14,121975.33,834610.0,956585.33,8
2023-08-15,410547.85,545163.0,955710.85,5
2023-08-16,493624.66,462138.0,955762.66,4
2023-08-17,493624.66,466824.0,960448.66,4
2023-08-18,493624.66,463848.0,957472.66,4
2023-08-21,493624.66,455736.0,949360.66,4
2023-08-22,493624.66,456552.0,950176.66,4
2023-08-23,446650.45,496377.0,943027.45,4
2023-08-24,446650.45,505497.0,952147.45,4
2023-08-25,446650.45,505989.0,952639.45,4
2023-08-28,446650.45,511119.0,957769.45,4
2023-08-29,399280.14,564033.0,963313.14,4
2023-08-30,391322.06,566274.0,957596.06,4
2023-08-31,388722.03,563070.0,951792.03,4
2023-09-01,388722.03,565553.0,954275.03,4
2023-09-04,297888.42,667034.0,964922.42,5
2023-09-05,251796.44,703870.0,955666.44,5
2023-09-06,380129.98,566786.0,946915.98,4
2023-09-07,285803.46,653270.0,939073.46,5
2023-09-08,376355.34,558212.0,934567.34,4
2023-09-11,374732.32,563222.0,937954.32,4
2023-09-12,374732.32,560420.0,935152.32,4
2023-09-13,374732.32,562215.0,936947.32,4
2023-09-14,374732.32,565562.0,940294.32,4
2023-09-15,281679.13,662514.0,944193.13,5
2023-09-18,234500.87,707666.0,942166.87,5
2023-09-19,232257.85,714989.0,947246.85,5
2023-09-20,232257.85,712063.0,944320.85,5
2023-09-21,231440.84,703042.0,934482.84,5
2023-09-22,231440.84,713482.0,944922.84,5
2023-09-25,43792.07,894865.0,938657.07,7
2023-09-26,89462.27,844378.0,933840.27,6
2023-09-27,89462.27,854406.0,943868.27,6
2023-09-28,89462.27,850967.0,940429.27,6
2023-10-09,89462.27,847731.0,937193.27,6
2023-10-10,89462.27,838042.0,927504.27,6
2023-10-11,409685.47,524623.0,934308.47,4
2023-10-12,364073.61,571554.0,935627.61,4
2023-10-13,571603.34,362839.0,934442.34,3
2023-10-16,607735.86,324577.0,932312.86,3
2023-10-17,563324.32,370755.0,934079.32,3
2023-10-18,519272.87,411692.0,930964.87,3
2023-10-19,519272.87,405906.0,925178.87,3
2023-10-20,510673.78,408629.0,919302.78,3
2023-10-23,510673.78,408904.0,919577.78,3
2023-10-24,510673.78,410905.0,921578.78,3
2023-10-25,510673.78,405412.0,916085.78,3
2023-10-26,648224.16,272787.0,921011.16,2
2023-10-27,648224.16,282692.0,930916.16,2
2023-10-30,648224.16,289134.0,937358.16,2
2023-10-31,648224.16,287030.0,935254.16,2
2023-11-01,648224.16,284627.0,932851.16,2
2023-11-02,557120.48,376138.0,933258.48,3
2023-11-03,511588.64,422613.0,934201.64,3
2023-11-06,509309.62,430895.0,940204.62,3
2023-11-07,509309.62,429580.0,938889.62,3
2023-11-08,509309.62,434393.0,943702.62,3
2023-11-09,509309.62,429943.0,939252.62,3
2023-11-10,509309.62,428790.0,938099.62,3
2023-11-13,509309.62,422495.0,931804.62,3
2023-11-14,509309.62,419177.0,928486.62,3
2023-11-15,509309.62,424903.0,934212.62,3
2023-11-16,509309.62,420283.0,929592.62,3
2023-11-17,509309.62,420692.0,930001.62,3
2023-11-20,509309.62,424360.0,933669.62,3
2023-11-21,416065.39,517928.0,933993.39,4
2023-11-22,278184.56,647785.0,925969.56,5
2023-11-23,278184.56,649295.0,927479.56,5
2023-11-24,278184.56,644896.0,923080.56,5
2023-11-27,411683.02,509990.0,921673.02,4
2023-11-28,411683.02,511869.0,923552.02,4
2023-11-29,411683.02,510937.0,922620.02,4
2023-11-30,411683.02,513068.0,924751.02,4
2023-12-01,411683.02,508445.0,920128.02,4
2023-12-04,411683.02,505464.0,917147.02,4
2023-12-05,499110.53,412179.0,911289.53,3
2023-12-06,773250.03,137250.0,910500.03,1
2023-12-07,773250.03,137860.0,911110.03,1
2023-12-08,773250.03,137982.0,911232.03,1
2023-12-11,773250.03,139202.0,912452.03,1
2023-12-12,773250.03,140178.0,913428.03,1
2023-12-13,773250.03,140239.0,913489.03,1
2023-12-14,773250.03,140361.0,913611.03,1
2023-12-15,773250.03,138958.0,912208.03,1
2023-12-18,773250.03,140727.0,913977.03,1
2023-12-19,773250.03,140605.0,913855.03,1
2023-12-20,773250.03,142130.0,915380.03,1
2023-12-21,773250.03,141215.0,914465.03,1
2023-12-22,773250.03,141398.0,914648.03,1
2023-12-25,773250.03,142740.0,915990.03,1
2023-12-26,773250.03,143533.0,916783.03,1
2023-12-27,773250.03,143533.0,916783.03,1
2023-12-28,773250.03,142008.0,915258.03,1
2023-12-29,773250.03,142374.0,915624.03,1
2024-01-02,773250.03,144448.0,917698.03,1
2024-01-03,773250.03,144936.0,918186.03,1
2024-01-04,773250.03,145180.0,918430.03,1
2024-01-05,773250.03,144814.0,918064.03,1
2024-01-08,773250.03,143960.0,917210.03,1
2024-01-09,685691.27,231866.0,917557.27,2
2024-01-10,641543.8,274902.0,916445.8,2
2024-01-11,641543.8,273398.0,914941.8,2
