date,cash,market_value,equity,positions
2023-06-12,1000000.0,0.0,1000000.0,0
2023-06-15,421170.54,587856.0,1009026.54,3
2023-06-16,38393.05,973785.0,1012178.05,4
2023-06-19,575.36,997133.0,997708.36,4
2023-06-20,575.36,995535.0,996110.36,4
2023-06-21,575.36,1000800.0,1001375.36,4
2023-06-26,205549.68,787859.0,993408.68,3
2023-06-27,205549.68,799957.0,1005506.68,3
2023-06-28,113659.79,887067.0,1000726.79,3
2023-06-29,3479.15,984892.0,988371.15,4
2023-06-30,3479.15,986254.0,989733.15,4
2023-07-03,3479.15,1011148.0,1014627.15,4
2023-07-04,3479.15,1013232.0,1016711.15,4
2023-07-05,3479.15,1009502.0,1012981.15,4
2023-07-06,111539.96,897172.0,1008711.96,3
2023-07-07,5912.5,995612.0,1001524.5,4
2023-07-10,1069.45,988080.0,989149.45,4
2023-07-11,220.44,997285.0,997505.44,5
2023-07-12,220.44,999807.0,1000027.44,5
2023-07-13,220.44,1024504.0,1024724.44,5
2023-07-14,220.44,1017899.0,1018119.44,5
2023-07-17,220.44,1011245.0,1011465.44,5
2023-07-18,8415.4,999049.0,1007464.4,4
2023-07-19,183.32,1016038.0,1016221.32,4
2023-07-20,183.32,1006630.0,1006813.32,4
2023-07-21,183.32,1003000.0,1003183.32,4
2023-07-24,183.32,990941.0,991124.32,4
2023-07-25,183.32,1013770.0,1013953.32,4
2023-07-26,183.32,1001039.0,1001222.32,4
2023-07-27,183.32,999156.0,999339.32,4
2023-07-28,183.32,1017435.0,1017618.32,4
2023-07-31,183.32,1019584.0,1019767.32,4
2023-08-01,183.32,1016313.0,1016496.32,4
2023-08-02,183.32,997073.0,997256.32,4
2023-08-03,9088.05,993674.0,1002762.05,5
2023-08-04,1352.97,996814.0,998166.97,5
2023-08-07,1352.97,988724.0,990076.97,5
2023-08-08,1352.97,978450.0,979802.97,5
2023-08-09,1352.97,987120.0,988472.97,5
2023-08-10,1352.97,988246.0,989598.97,5
2023-08-11,25024.71,942317.0,967341.71,5
2023-08-14,123985.44,831680.0,955665.44,4
2023-08-15,213922.14,742046.0,955968.14,3
2023-08-16,213922.14,740686.0,954608.14,3
2023-08-17,213922.14,748446.0,962368.14,3
2023-08-18,30675.51,916781.0,947456.51,4
2023-08-21,2420.17,929988.0,932408.17,5
2023-08-22,164916.57,770889.0,935805.57,4
2023-08-23,73577.83,850697.0,924274.83,4
2023-08-24,73577.83,871818.0,945395.83,4
2023-08-25,73577.83,873851.0,947428.83,4
2023-08-28,73577.83,881658.0,955235.83,4
2023-08-29,2522.36,956372.0,958894.36,4
2023-08-30,2522.36,948001.0,950523.36,4
2023-08-31,2522.36,937894.0,940416.36,4
2023-09-01,2522.36,940666.0,943188.36,4
2023-09-04,2522.36,955287.0,957809.36,4
2023-09-05,3987.07,941939.0,945926.07,5
2023-09-06,1343.04,926153.0,927496.04,5
2023-09-07,1343.04,912770.0,914113.04,5
2023-09-08,3203.86,904834.0,908037.86,5
2023-09-11,771.84,912162.0,912933.84,5
2023-09-12,771.84,908960.0,909731.84,5
2023-09-13,771.84,911637.0,912408.84,5
2023-09-14,771.84,918388.0,919159.84,5
2023-09-15,771.84,924842.0,925613.84,5
2023-09-18,771.84,927571.0,928342.84,5
2023-09-19,771.84,934122.0,934893.84,5
2023-09-20,771.84,932976.0,933747.84,5
2023-09-21,771.84,917364.0,918135.84,5
2023-09-22,771.84,930877.0,931648.84,5
2023-09-25,771.84,931606.0,932377.84,5
2023-09-26,771.84,926187.0,926958.84,5
2023-09-27,771.84,948183.0,948954.84,5
2023-09-28,771.84,940119.0,940890.84,5
2023-10-09,771.84,933343.0,934114.84,5
2023-10-10,771.84,917062.0,917833.84,5
2023-10-11,113703.75,818290.0,931993.75,4
2023-10-12,3874.76,930680.0,934554.76,4
2023-10-13,206127.35,727874.0,934001.35,3
2023-10-16,287425.52,642320.0,929745.52,3
2023-10-17,194174.39,739069.0,933243.39,3
2023-10-18,106071.49,820881.0,926952.49,3
2023-10-19,97376.4,818006.0,915382.4,3
2023-10-20,97376.4,806363.0,903739.4,3
2023-10-23,88976.32,815428.0,904404.32,3
2023-10-24,88976.32,819353.0,908329.32,3
2023-10-25,88976.32,808568.0,897544.32,3
2023-10-26,357527.06,550019.0,907546.06,2
2023-10-27,357527.06,569924.0,927451.06,2
2023-10-30,357527.06,582926.0,940453.06,2
2023-10-31,357527.06,578854.0,936381.06,2
2023-11-01,357527.06,574051.0,931578.06,2
2023-11-02,357527.06,574986.0,932513.06,2
2023-11-03,173123.13,761408.0,934531.13,3
2023-11-06,79864.89,866623.0,946487.89,3
2023-11-07,79864.89,864003.0,943867.89,3
2023-11-08,79864.89,873714.0,953578.89,3
2023-11-09,79864.89,864724.0,944588.89,3
2023-11-10,79864.89,862419.0,942283.89,3
2023-11-13,79864.89,849720.0,929584.89,3
2023-11-14,79864.89,843058.0,922922.89,3
2023-11-15,79864.89,854539.0,934403.89,3
2023-11-16,79864.89,845246.0,925110.89,3
2023-11-17,79864.89,846098.0,925962.89,3
2023-11-20,79864.89,853469.0,933333.89,3
2023-11-21,1738.15,932564.0,934302.15,4
2023-11-22,161.13,921776.0,921937.13,4
2023-11-23,161.13,923009.0,923170.13,4
2023-11-24,161.13,918311.0,918472.13,4
2023-11-27,267158.06,649383.0,916541.06,3
2023-11-28,267158.06,652832.0,919990.06,3
2023-11-29,267158.06,653215.0,920373.06,3
2023-11-30,267158.06,659187.0,926345.06,3
2023-12-01,88180.54,824913.0,913093.54,4
2023-12-04,264074.76,644603.0,908677.76,3
2023-12-05,264074.76,637093.0,901167.76,3
2023-12-06,622971.8,276750.0,899721.8,1
2023-12-07,622971.8,277980.0,900951.8,1
2023-12-08,622971.8,278226.0,901197.8,1
2023-12-11,622971.8,280686.0,903657.8,1
2023-12-12,622971.8,282654.0,905625.8,1
2023-12-13,622971.8,282777.0,905748.8,1
2023-12-14,622971.8,283023.0,905994.8,1
2023-12-15,622971.8,280194.0,903165.8,1
2023-12-18,622971.8,283761.0,906732.8,1
2023-12-19,622971.8,283515.0,906486.8,1
2023-12-20,622971.8,286590.0,909561.8,1
2023-12-21,622971.8,284745.0,907716.8,1
2023-12-22,622971.8,285114.0,908085.8,1
2023-12-25,622971.8,287820.0,910791.8,1
2023-12-26,622971.8,289419.0,912390.8,1
2023-12-27,622971.8,289419.0,912390.8,1
2023-12-28,622971.8,286344.0,909315.8,1
2023-12-29,622971.8,287082.0,910053.8,1
2024-01-02,622971.8,291264.0,914235.8,1
2024-01-03,622971.8,292248.0,915219.8,1
2024-01-04,622971.8,292740.0,915711.8,1
2024-01-05,622971.8,292002.0,914973.8,1
2024-01-08,622971.8,290280.0,913251.8,1
2024-01-09,442381.85,471603.0,913984.85,2
2024-01-10,354086.9,557660.0,911746.9,2
2024-01-11,354086.9,554614.0,908700.9,2
2024-01-12,354086.9,558919.0,913005.9,2
2024-01-15,354086.9,562862.0,916948.9,2
2024-01-16,171289.38,752073.0,923362.38,3
2024-01-17,79285.46,833769.0,913054.46,3
2024-01-18,76392.43,836416.0,912808.43,3
2024-01-19,76392.43,835456.0,911848.43,3
2024-01-22,76392.43,824795.0,901187.43,3
2024-01-23,342569.99,562237.0,904806.99,2
2024-01-24,342569.99,573586.0,916155.99,2
2024-01-25,159292.35,771126.0,930418.35,3
2024-01-26,159292.35,791948.0,951240.35,3
2024-01-29,87958.81,868342.0,956300.81,3
2024-01-30,83793.77,868148.0,951941.77,3
2024-01-31,3380.87,950467.0,953847.87,4
2024-02-01,2555.86,943036.0,945591.86,4
2024-02-02,120.84,942117.0,942237.84,4
2024-02-05,120.84,962394.0,962514.84,4
2024-02-06,120.84,959409.0,959529.84,4
2024-02-07,120.84,971350.0,971470.84,4
2024-02-08,120.84,965793.0,965913.84,4
2024-02-19,120.84,987537.0,987657.84,4
2024-02-20,120.84,996192.0,996312.84,4
2024-02-21,120.84,1000971.0,1001091.84,4
2024-02-22,120.84,1017905.0,1018025.84,4
2024-02-23,1459.24,1009271.0,1010730.24,5
2024-02-26,554.23,994752.0,995306.23,5
2024-02-27,554.23,1002585.0,1003139.23,5
2024-02-28,554.23,1004986.0,1005540.23,5
2024-02-29,554.23,1006514.0,1007068.23,5
2024-03-01,554.23,1012781.0,1013335.23,5
2024-03-04,554.23,1021643.0,1022197.23,5
2024-03-05,1959.31,1032380.0,1034339.31,5
2024-03-06,3398.25,1023218.0,1026616.25,5
2024-03-07,708.22,1032287.0,1032995.22,5
2024-03-08,112.73,1030507.0,1030619.73,5
2024-03-11,463.65,1026866.0,1027329.65,5
2024-03-12,463.65,1016704.0,1017167.65,5
2024-03-13,463.65,1008165.0,1008628.65,5
2024-03-14,463.65,1002504.0,1002967.65,5
2024-03-15,463.65,1011000.0,1011463.65,5
2024-03-18,463.65,1007635.0,1008098.65,5
2024-03-19,463.65,1002606.0,1003069.65,5
2024-03-20,463.65,1013622.0,1014085.65,5
2024-03-21,463.65,1016372.0,1016835.65,5
