date,code,action,price,shares,amount,fee
2023-06-15,002594,BUY,263.5,700,184450.0,47.95
2023-06-15,000333,BUY,57.26,3400,194684.0,50.62
2023-06-15,601857,BUY,7.53,26500,199545.0,51.89
2023-06-16,002594,BUY,273.86,300,82158.0,21.36
2023-06-16,000333,BUY,58.4,1700,99280.0,25.81
2023-06-16,600276,BUY,46.8,4300,201240.0,52.32
2023-06-19,600276,BUY,47.5,700,33250.0,8.64
2023-06-19,601857,BUY,7.59,600,4554.0,5.05
2023-06-26,600276,EXIT,46.28,5000,231400.0,175.86
2023-06-26,002594,BUY,262.43,100,26243.0,6.82
2023-06-28,601857,BUY,7.53,12200,91866.0,23.89
2023-06-29,600900,BUY,22.48,4900,110152.0,28.64
2023-07-06,600900,EXIT,22.07,4900,108143.0,82.19
2023-07-07,600276,BUY,48.0,2200,105600.0,27.46
2023-07-10,600276,BUY,48.38,100,4838.0,5.05
2023-07-11,000725,BUY,4.22,200,844.0,5.01
2023-07-18,600276,EXIT,47.4,2300,109020.0,82.85
2023-07-18,000725,BUY,4.36,23100,100716.0,26.19
2023-07-19,000725,BUY,4.33,1900,8227.0,5.08
2023-08-03,601857,EXIT,7.55,39300,296715.0,225.51
2023-08-03,603259,BUY,73.7,2700,198990.0,51.74
2023-08-03,000858,BUY,177.04,500,88520.0,23.02
2023-08-04,603259,BUY,77.3,100,7730.0,5.08
2023-08-11,002594,EXIT,262.69,1100,288959.0,219.61
2023-08-11,000333,EXIT,56.29,5100,287079.0,218.18
2023-08-11,603259,BUY,78.89,900,71001.0,18.46
2023-08-11,000858,BUY,177.46,500,88730.0,23.07
2023-08-11,600030,BUY,24.98,7900,197342.0,51.31
2023-08-11,600036,BUY,34.16,5700,194712.0,50.63
2023-08-14,000725,STOP_LOSS,3.93,25200,99036.0,75.27
2023-08-15,600036,EXIT,32.46,5700,185022.0,140.62
2023-08-15,600030,BUY,23.73,4000,94920.0,24.68
2023-08-18,600519,BUY,1831.99,100,183199.0,47.63
2023-08-21,600585,BUY,25.68,1100,28248.0,7.34
2023-08-22,000858,STOP_LOSS,162.62,1000,162620.0,123.6
2023-08-23,600585,BUY,26.09,3500,91315.0,23.74
2023-08-29,600585,BUY,26.31,2700,71037.0,18.47
2023-09-05,600030,STOP_LOSS,22.47,11900,267393.0,203.22
2023-09-05,600585,BUY,27.38,3200,87616.0,22.78
2023-09-05,300750,BUY,237.0,600,142200.0,36.97
2023-09-05,601318,BUY,51.2,700,35840.0,9.32
2023-09-06,600585,BUY,26.39,100,2639.0,5.03
2023-09-08,300750,EXIT,225.0,600,135000.0,102.6
2023-09-08,601857,BUY,8.21,16200,133002.0,34.58
2023-09-11,601857,BUY,8.09,300,2427.0,5.02
2023-10-11,600519,EXIT,1784.65,100,178465.0,135.63
2023-10-11,600585,EXIT,25.1,10600,266060.0,202.21
2023-10-11,601318,EXIT,47.85,700,33495.0,25.45
2023-10-11,600900,BUY,22.67,8000,181360.0,47.15
2023-10-11,600276,BUY,44.7,4100,183270.0,47.65
2023-10-12,600900,BUY,22.89,4000,91560.0,23.81
2023-10-12,600276,BUY,45.6,400,18240.0,5.18
2023-10-13,603259,TAKE_PROFIT,88.6,1800,159480.0,121.2
2023-10-13,601857,EXIT,7.61,16500,125565.0,95.43
2023-10-13,600900,BUY,22.55,300,6765.0,5.07
2023-10-13,600276,BUY,44.58,1700,75786.0,19.71
2023-10-16,603259,TAKE_PROFIT,90.4,900,81360.0,61.83
2023-10-17,603259,BUY,88.8,1000,88800.0,23.09
2023-10-17,600276,BUY,44.23,100,4423.0,5.04
2023-10-18,603259,BUY,88.08,1000,88080.0,22.9
2023-10-19,603259,BUY,86.9,100,8690.0,5.09
2023-10-23,603259,BUY,83.95,100,8395.0,5.08
