date,cash,market_value,equity,positions
2023-06-12,1000000.0,0.0,1000000.0,0
2023-06-15,724140.3,279956.0,1004096.3,3
2023-06-16,460385.75,546153.0,1006538.75,5
2023-06-19,335651.32,659624.0,995275.32,5
2023-06-20,335651.32,656024.0,991675.32,5
2023-06-21,324874.8,669566.0,994440.8,5
2023-06-26,468233.77,522359.0,990592.77,4
2023-06-27,468233.77,529632.0,997865.77,4
2023-06-28,468233.77,527579.0,995812.77,4
2023-06-29,418764.92,569664.0,988428.92,4
2023-06-30,320249.32,670527.0,990776.32,5
2023-07-03,320249.32,681674.0,1001923.32,5
2023-07-04,272937.02,734207.0,1007144.02,5
2023-07-05,272937.02,733693.0,1006630.02,5
2023-07-06,418488.31,582566.0,1001054.31,4
2023-07-07,418488.31,579638.0,998126.31,4
2023-07-10,318872.41,668845.0,987717.41,5
2023-07-11,318872.41,675111.0,993983.41,5
2023-07-12,269443.57,725057.0,994500.57,5
2023-07-13,267734.55,740198.0,1007932.55,5
2023-07-14,78883.78,927690.0,1006573.78,7
2023-07-17,78883.78,922435.0,1001318.78,7
2023-07-18,310497.62,687872.0,998369.62,5
2023-07-19,310497.62,691952.0,1002449.62,5
2023-07-20,310497.62,685215.0,995712.62,5
2023-07-21,310497.62,679396.0,989893.62,5
2023-07-24,407174.08,575837.0,983011.08,4
2023-07-25,311649.24,683225.0,994874.24,5
2023-07-26,6892.03,983338.0,990230.03,8
2023-07-27,1927.98,987447.0,989374.98,8
2023-07-28,1927.98,1006419.0,1008346.98,8
2023-07-31,1927.98,1001405.0,1003332.98,8
2023-08-01,1252.45,999457.0,1000709.45,9
2023-08-02,1252.45,986332.0,987584.45,9
2023-08-03,72208.46,924083.0,996291.46,8
2023-08-04,911.93,994199.0,995110.93,8
2023-08-07,911.93,988484.0,989395.93,8
2023-08-08,911.93,982775.0,983686.93,8
2023-08-09,911.93,987542.0,988453.93,8
2023-08-10,911.93,991049.0,991960.93,8
2023-08-11,850.78,965132.0,965982.78,9
2023-08-14,139474.35,812202.0,951676.35,8
2023-08-15,358582.85,592318.0,950900.85,5
2023-08-16,425044.29,526208.0,951252.29,4
2023-08-17,425044.29,531486.0,956530.29,4
2023-08-18,425044.29,528194.0,953238.29,4
2023-08-21,425044.29,519784.0,944828.29,4
2023-08-22,425044.29,521622.0,946666.29,4
2023-08-23,378070.08,560892.0,938962.08,4
2023-08-24,378070.08,570238.0,948308.08,4
2023-08-25,378070.08,571372.0,949442.08,4
2023-08-28,283545.51,670236.0,953781.51,5
2023-08-29,185724.74,772169.0,957893.74,6
2023-08-30,275398.49,677374.0,952772.49,5
2023-08-31,275398.49,671352.0,946750.49,5
2023-09-01,181609.11,768808.0,950417.11,6
2023-09-04,136192.31,829024.0,965216.31,6
2023-09-05,270909.85,685238.0,956147.85,5
2023-09-06,178869.93,769620.0,948489.93,6
2023-09-07,42364.44,897962.0,940326.44,7
2023-09-08,177261.84,758062.0,935323.84,6
2023-09-11,177261.84,763786.0,941047.84,6
2023-09-12,177261.84,761350.0,938611.84,6
2023-09-13,177261.84,762368.0,939629.84,6
2023-09-14,83283.41,860448.0,943731.41,7
2023-09-15,1252.08,943740.0,944992.08,8
2023-09-18,182584.17,760066.0,942650.17,6
2023-09-19,87160.93,860882.0,948042.93,7
2023-09-20,87160.93,856980.0,944140.93,7
2023-09-21,87160.93,845474.0,932634.93,7
2023-09-22,122982.69,820874.0,943856.69,6
2023-09-25,2791.45,938604.0,941395.45,8
2023-09-26,2664.66,933859.0,936523.66,7
2023-09-27,2664.66,946392.0,949056.66,7
2023-09-28,90617.77,855608.0,946225.77,7
2023-10-09,110933.96,831569.0,942502.96,7
2023-10-10,128260.12,806854.0,935114.12,7
2023-10-11,502465.0,434670.0,937135.0,4
2023-10-12,511455.41,425773.0,937228.41,4
2023-10-13,553481.75,382003.0,935484.75,4
2023-10-16,644636.42,289417.0,934053.42,3
2023-10-17,600224.88,335455.0,935679.88,3
2023-10-18,556173.43,376688.0,932861.43,3
2023-10-19,512712.14,414524.0,927236.14,3
2023-10-20,512712.14,408629.0,921341.14,3
2023-10-23,512712.14,408904.0,921616.14,3
2023-10-24,512712.14,410905.0,923617.14,3
2023-10-25,512712.14,405412.0,918124.14,3
2023-10-26,650262.52,272787.0,923049.52,2
2023-10-27,650262.52,282692.0,932954.52,2
2023-10-30,650262.52,289134.0,939396.52,2
2023-10-31,650262.52,287030.0,937292.52,2
2023-11-01,557660.45,377533.0,935193.45,3
2023-11-02,557660.45,378414.0,936074.45,3
2023-11-03,512128.61,424884.0,937012.61,3
2023-11-06,512128.61,430895.0,943023.61,3
2023-11-07,512128.61,429580.0,941708.61,3
2023-11-08,512128.61,434393.0,946521.61,3
2023-11-09,512128.61,429943.0,942071.61,3
2023-11-10,512128.61,428790.0,940918.61,3
2023-11-13,512128.61,422495.0,934623.61,3
2023-11-14,418726.34,513503.0,932229.34,4
2023-11-15,418726.34,519466.0,938192.34,4
2023-11-16,418726.34,514135.0,932861.34,4
2023-11-17,327149.53,607350.0,934499.53,5
2023-11-20,327149.53,609373.0,936522.53,5
2023-11-21,278260.39,659088.0,937348.39,5
2023-11-22,230999.21,697472.0,928471.21,5
2023-11-23,230999.21,699043.0,930042.21,5
2023-11-24,230999.21,694241.0,925240.21,5
2023-11-27,364497.67,558580.0,923077.67,4
2023-11-28,364497.67,560284.0,924781.67,4
2023-11-29,364497.67,558905.0,923402.67,4
2023-11-30,364497.67,561170.0,925667.67,4
2023-12-01,364497.67,556768.0,921265.67,4
2023-12-04,364497.67,553467.0,917964.67,4
2023-12-05,496705.12,415195.0,911900.12,3
2023-12-06,771602.04,139500.0,911102.04,1
2023-12-07,680618.39,229680.0,910298.39,2
2023-12-08,770090.33,140244.0,910334.33,1
2023-12-11,770090.33,141484.0,911574.33,1
2023-12-12,681660.35,229496.0,911156.35,2
2023-12-13,681660.35,229216.0,910876.35,2
2023-12-14,681660.35,229549.0,911209.35,2
2023-12-15,681660.35,226090.0,907750.35,2
2023-12-18,766316.96,143034.0,909350.96,1
2023-12-19,766316.96,142910.0,909226.96,1
2023-12-20,766316.96,144460.0,910776.96,1
2023-12-21,766316.96,143530.0,909846.96,1
2023-12-22,766316.96,143716.0,910032.96,1
2023-12-25,766316.96,145080.0,911396.96,1
2023-12-26,766316.96,145886.0,912202.96,1
2023-12-27,766316.96,145886.0,912202.96,1
2023-12-28,766316.96,144336.0,910652.96,1
2023-12-29,766316.96,144708.0,911024.96,1
2024-01-02,675267.29,237374.0,912641.29,2
2024-01-03,675267.29,237402.0,912669.29,2
2024-01-04,675267.29,236480.0,911747.29,2
2024-01-05,675267.29,235874.0,911141.29,2
2024-01-08,675267.29,237112.0,912379.29,2
2024-01-09,587708.53,322672.0,910380.53,3
2024-01-10,543561.06,364284.0,907845.06,3
2024-01-11,630776.73,275716.0,906492.73,2
2024-01-12,630776.73,277886.0,908662.73,2
