date,code,action,price,shares,amount,fee
2023-06-15,002594,BUY,263.5,300,79050.0,20.55
2023-06-15,000333,BUY,57.26,1700,97342.0,25.31
2023-06-15,601857,BUY,7.53,13200,99396.0,25.84
2023-06-16,002594,BUY,273.86,100,27386.0,7.12
2023-06-16,000333,BUY,58.4,800,46720.0,12.15
2023-06-16,600276,BUY,46.8,2100,98280.0,25.55
2023-06-16,000858,BUY,182.6,500,91300.0,23.73
2023-06-19,600276,BUY,47.5,1000,47500.0,12.36
2023-06-19,002594,BUY,271.08,100,27108.0,7.05
2023-06-19,601857,BUY,7.59,6600,50094.0,13.02
2023-06-21,000858,EXIT,173.99,500,86995.0,66.12
2023-06-21,600900,BUY,22.2,4400,97680.0,25.4
2023-06-26,600276,EXIT,46.28,3100,143468.0,109.03
2023-06-29,600900,BUY,22.48,2200,49456.0,12.85
2023-06-30,600276,BUY,46.9,2100,98490.0,25.6
2023-07-04,600276,BUY,47.3,1000,47300.0,12.3
2023-07-06,600900,EXIT,22.07,6600,145662.0,110.71
2023-07-10,000725,BUY,4.33,23000,99590.0,25.9
2023-07-12,000725,BUY,4.26,11600,49416.0,12.84
2023-07-13,000725,BUY,4.26,400,1704.0,5.02
2023-07-14,000725,BUY,4.29,300,1287.0,5.01
2023-07-14,600900,BUY,22.38,4500,100710.0,26.19
2023-07-14,000858,BUY,173.6,500,86800.0,22.57
2023-07-18,600276,EXIT,47.4,3100,146940.0,111.67
2023-07-18,000858,EXIT,169.7,500,84850.0,64.49
2023-07-24,600900,EXIT,21.5,4500,96750.0,73.54
2023-07-25,600276,BUY,47.75,2000,95500.0,24.84
2023-07-26,600276,BUY,47.77,1000,47770.0,12.42
2023-07-26,300750,BUY,225.12,400,90048.0,23.41
2023-07-26,601318,BUY,49.18,2000,98360.0,25.57
2023-07-26,603259,BUY,68.5,1000,68500.0,17.81
2023-07-27,601318,BUY,49.59,100,4959.0,5.05
2023-08-01,600276,EXIT,44.31,3000,132930.0,101.03
2023-08-01,300750,BUY,237.4,200,47480.0,12.34
2023-08-01,603259,BUY,74.78,600,44868.0,11.67
2023-08-01,000858,BUY,181.69,200,36338.0,9.44
2023-08-01,600030,BUY,23.9,200,4780.0,5.05
2023-08-03,601857,EXIT,7.55,19800,149490.0,113.61
2023-08-03,603259,BUY,73.7,400,29480.0,7.66
2023-08-03,600030,BUY,24.46,2000,48920.0,12.72
2023-08-04,000858,BUY,181.39,200,36278.0,9.43
2023-08-04,600030,BUY,25.0,1400,35000.0,9.1
2023-08-11,002594,EXIT,262.69,500,131345.0,99.82
2023-08-11,000333,EXIT,56.29,2500,140725.0,106.95
2023-08-11,600030,BUY,24.98,1900,47462.0,12.34
2023-08-11,601318,BUY,51.3,700,35910.0,9.34
2023-08-11,600036,BUY,34.16,2900,99064.0,25.76
2023-08-11,600585,BUY,25.94,3400,88196.0,22.93
2023-08-11,000001,BUY,12.17,100,1217.0,5.01
2023-08-14,000725,STOP_LOSS,3.93,35300,138729.0,105.43
2023-08-15,601318,EXIT,48.52,2800,135856.0,103.25
2023-08-15,600036,EXIT,32.46,2900,94134.0,71.54
2023-08-15,000001,EXIT,11.69,100,1169.0,5.59
2023-08-15,600030,BUY,23.73,500,11865.0,5.12
2023-08-16,000858,STOP_LOSS,166.28,400,66512.0,50.56
2023-08-23,600585,BUY,26.09,1800,46962.0,12.21
2023-08-28,600900,BUY,22.5,4200,94500.0,24.57
2023-08-29,600585,BUY,26.31,100,2631.0,5.03
2023-08-29,601857,BUY,7.8,12200,95160.0,24.74
2023-08-30,600900,EXIT,22.0,4200,92400.0,70.22
2023-08-30,600585,BUY,26.51,100,2651.0,5.03
2023-09-01,601318,BUY,49.35,1900,93765.0,24.38
2023-09-04,601318,BUY,50.45,900,45405.0,11.8
2023-09-05,600030,STOP_LOSS,22.47,6000,134820.0,102.46
2023-09-06,000333,BUY,57.51,1600,92016.0,23.92
2023-09-07,601857,BUY,8.06,5400,43524.0,11.32
2023-09-07,600030,BUY,22.13,4200,92946.0,24.17
2023-09-08,300750,EXIT,225.0,600,135000.0,102.6
2023-09-14,600900,BUY,22.37,4200,93954.0,24.43
2023-09-15,600900,BUY,22.69,2000,45380.0,11.8
2023-09-15,600036,BUY,33.3,1100,36630.0,9.53
2023-09-18,000333,EXIT,55.8,1600,89280.0,67.85
2023-09-18,600030,EXIT,21.95,4200,92190.0,70.06
2023-09-19,600900,BUY,22.38,100,2238.0,5.02
2023-09-19,600276,BUY,44.36,2100,93156.0,24.22
2023-09-22,600036,EXIT,32.59,1100,35849.0,27.24
2023-09-25,600036,BUY,33.28,2800,93184.0,24.23
2023-09-25,600030,BUY,22.48,1200,26976.0,7.01
2023-09-26,600030,EXIT,21.87,1200,26244.0,19.94
2023-09-26,600036,BUY,32.93,800,26344.0,6.85
